uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,ips_voie_gt,ips_voie_pro,ips_ensemble_gt_pro,taux_de_reussite,va_taux_de_reussite,taux_de_mentions,va_du_taux_de_mentions,effectif_de_2de,effectif_de_1re,effectif_de_ter,taux_dacces_2nde_bac,va_taux_dacces_2nde_bac,taux_dacces_1re_bac,va_du_taux_dacces_1re_bac,taux_dacces_term_bac,va_du_taux_dacces_term_bac,part_mention_ab,part_mention_b,part_mention_tb_sf,part_mention_tb_af
0680073K,2020-01-01,STRASBOURG,HAUT-RHIN,THANN,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,909,116.2,,116.2,98.0,0.0,74.0,0.0,316.0,287.0,261.0,94.0,4.0,98.0,1.0,100.0,1.0,,,,
0080053P,2020-01-01,REIMS,ARDENNES,VOUZIERS,LYCEE GENERAL,PUBLIC,244,108.7,,108.7,97.0,-2.0,72.0,-4.0,98.0,77.0,74.0,88.0,-2.0,96.0,-1.0,99.0,0.0,,,,
0100003Z,2020-01-01,REIMS,AUBE,BAR-SUR-AUBE,LYCEE POLYVALENT,PUBLIC,386,104.2,79.0,97.5,97.0,0.0,60.0,-2.0,138.0,120.0,120.0,93.0,3.0,99.0,3.0,100.0,2.0,,,,
0100015M,2020-01-01,REIMS,AUBE,ROMILLY-SUR-SEINE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,987,100.2,,100.2,92.0,-4.0,56.0,-4.0,388.0,338.0,301.0,84.0,-3.0,94.0,-1.0,96.0,-1.0,,,,
0100023W,2020-01-01,REIMS,AUBE,TROYES,LYCEE POLYVALENT,PUBLIC,1169,95.9,72.9,89.9,91.0,-4.0,58.0,1.0,352.0,418.0,402.0,82.0,-4.0,89.0,-5.0,94.0,-2.0,,,,
0100047X,2020-01-01,REIMS,AUBE,TROYES,LYCEE GENERAL PRIVE,PRIVE,383,128.2,,128.2,99.0,0.0,82.0,2.0,137.0,126.0,127.0,87.0,-4.0,96.0,-1.0,97.0,-2.0,,,,
0510062R,2020-01-01,REIMS,MARNE,VITRY-LE-FRANCOIS,LYCEE POLYVALENT,PUBLIC,688,102.5,79.0,95.1,95.0,-1.0,54.0,-9.0,253.0,223.0,218.0,93.0,4.0,96.0,1.0,98.0,0.0,,,,
0511146U,2020-01-01,REIMS,MARNE,REIMS,LYCEE POLYVALENT PRIVE DES MET,PRIVE,169,121.2,108.3,112.8,98.0,0.0,69.0,6.0,56.0,59.0,46.0,82.0,-6.0,90.0,-6.0,98.0,0.0,,,,
0511565Z,2020-01-01,REIMS,MARNE,REIMS,LPO LYCEE DES METIERS,PUBLIC,279,102.8,86.3,96.9,95.0,-1.0,74.0,15.0,131.0,100.0,76.0,85.0,-3.0,93.0,-2.0,96.0,-2.0,,,,
0521032P,2020-01-01,REIMS,HAUTE-MARNE,CHAUMONT,LPO LYCEE DES METIERS,PUBLIC,595,112.2,85.4,110.2,98.0,0.0,68.0,-3.0,214.0,164.0,192.0,89.0,-1.0,96.0,0.0,98.0,0.0,,,,
0540040A,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,974,114.8,,114.8,99.0,2.0,66.0,-1.0,340.0,332.0,338.0,91.0,2.0,97.0,2.0,99.0,1.0,,,,
0540044E,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOMBLAINE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1177,108.3,,108.3,94.0,-3.0,65.0,2.0,399.0,467.0,407.0,89.0,0.0,96.0,1.0,97.0,-1.0,,,,
0540066D,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,980,114.6,,114.6,97.0,-1.0,64.0,-5.0,306.0,307.0,330.0,89.0,-1.0,97.0,1.0,99.0,1.0,,,,
0541313J,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL PRIVE,PRIVE,216,128.7,,128.7,100.0,1.0,77.0,-5.0,104.0,88.0,58.0,94.0,2.0,97.0,0.0,100.0,1.0,,,,
0542161F,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,92,104.1,,104.1,94.0,-1.0,62.0,9.0,21.0,33.0,29.0,58.0,-27.0,75.0,-18.0,91.0,-5.0,,,,
0550047C,2020-01-01,NANCY-METZ,MEUSE,BAR-LE-DUC,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,229,118.3,,118.3,100.0,2.0,83.0,12.0,79.0,87.0,77.0,91.0,0.0,100.0,4.0,100.0,2.0,,,,
0550072E,2020-01-01,NANCY-METZ,MEUSE,STENAY,LYCEE POLYVALENT,PUBLIC,263,98.4,75.0,91.3,97.0,1.0,65.0,1.0,90.0,68.0,84.0,87.0,-2.0,100.0,5.0,100.0,2.0,,,,
0570023R,2020-01-01,NANCY-METZ,MOSELLE,FAMECK,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1237,92.4,,92.4,93.0,-2.0,56.0,-1.0,491.0,365.0,387.0,89.0,2.0,97.0,2.0,99.0,2.0,,,,
0570081D,2020-01-01,NANCY-METZ,MOSELLE,PHALSBOURG,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,294,108.8,,108.8,94.0,-4.0,71.0,0.0,96.0,93.0,92.0,81.0,-9.0,91.0,-5.0,95.0,-3.0,,,,
0570106F,2020-01-01,NANCY-METZ,MOSELLE,THIONVILLE,LYCEE GENERAL,PUBLIC,868,115.0,,115.0,97.0,-1.0,70.0,-4.0,347.0,244.0,264.0,86.0,-5.0,95.0,-1.0,98.0,-1.0,,,,
0570146Z,2020-01-01,NANCY-METZ,MOSELLE,ROMBAS,LYCEE POLYVALENT,PUBLIC,1092,100.9,79.5,96.1,94.0,-2.0,61.0,0.0,337.0,346.0,352.0,90.0,2.0,95.0,0.0,97.0,-1.0,,,,
0573320Z,2020-01-01,NANCY-METZ,MOSELLE,METZ,LPO LYCEE DES METIERS,PUBLIC,137,111.9,92.0,98.2,100.0,1.0,55.0,-9.0,34.0,44.0,56.0,93.0,3.0,95.0,0.0,97.0,0.0,,,,
0573326F,2020-01-01,NANCY-METZ,MOSELLE,BITCHE,LYCEE POLYVALENT,PUBLIC,463,106.1,79.9,101.7,99.0,1.0,80.0,10.0,168.0,161.0,149.0,96.0,5.0,99.0,3.0,99.0,0.0,,,,
0670005S,2020-01-01,STRASBOURG,BAS-RHIN,BISCHWILLER,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,727,104.7,,104.7,95.0,-2.0,61.0,-5.0,267.0,235.0,208.0,86.0,-3.0,93.0,-3.0,95.0,-3.0,,,,
0670049P,2020-01-01,STRASBOURG,BAS-RHIN,OBERNAI,LYCEE GENERAL,PUBLIC,664,132.2,,132.2,100.0,1.0,84.0,0.0,264.0,227.0,186.0,95.0,3.0,99.0,2.0,100.0,1.0,,,,
0670057Y,2020-01-01,STRASBOURG,BAS-RHIN,SAVERNE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,762,111.5,,111.5,98.0,0.0,66.0,-4.0,238.0,249.0,245.0,86.0,-4.0,96.0,0.0,98.0,0.0,,,,
0670079X,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL,PUBLIC,850,132.7,,132.7,97.0,-2.0,73.0,-8.0,305.0,274.0,269.0,92.0,0.0,97.0,0.0,97.0,-2.0,,,,
0670083B,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL,PUBLIC,706,106.2,,106.2,94.0,-3.0,63.0,-7.0,293.0,262.0,160.0,86.0,0.0,93.0,-2.0,94.0,-4.0,,,,
0671611M,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL PRIVE,PRIVE,366,125.0,,125.0,99.0,0.0,81.0,-2.0,140.0,120.0,110.0,90.0,-2.0,94.0,-3.0,99.0,0.0,,,,
0671615S,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL PRIVE,PRIVE,136,137.1,,137.1,100.0,1.0,89.0,1.0,39.0,43.0,56.0,94.0,2.0,98.0,1.0,100.0,0.0,,,,
0672614C,2020-01-01,STRASBOURG,BAS-RHIN,SARRE-UNION,LYCEE POLYVALENT,PUBLIC,305,106.0,83.0,97.6,100.0,2.0,83.0,9.0,128.0,94.0,80.0,94.0,3.0,99.0,2.0,100.0,1.0,,,,
0672615D,2020-01-01,STRASBOURG,BAS-RHIN,MOLSHEIM,LYCEE POLYVALENT,PUBLIC,499,116.1,87.8,107.2,97.0,-1.0,74.0,9.0,198.0,155.0,157.0,88.0,-1.0,96.0,0.0,97.0,-1.0,,,,
0681917P,2020-01-01,STRASBOURG,HAUT-RHIN,WITTENHEIM,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,63,91.5,,91.5,100.0,3.0,71.0,15.0,18.0,16.0,19.0,63.0,-21.0,82.0,-12.0,96.0,0.0,,,,
0880020U,2020-01-01,NANCY-METZ,VOSGES,EPINAL,LYCEE GENERAL,PUBLIC,912,117.7,,117.7,99.0,0.0,65.0,-12.0,320.0,281.0,257.0,87.0,-4.0,96.0,-1.0,99.0,0.0,,,,
0880040R,2020-01-01,NANCY-METZ,VOSGES,NEUFCHATEAU,LPO LYCEE DES METIERS,PUBLIC,557,103.4,88.7,101.1,95.0,-3.0,68.0,0.0,193.0,187.0,164.0,90.0,0.0,98.0,2.0,99.0,1.0,,,,
0880101G,2020-01-01,NANCY-METZ,VOSGES,EPINAL,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,354,120.2,,120.2,100.0,1.0,77.0,2.0,121.0,121.0,133.0,90.0,-1.0,97.0,0.0,99.0,0.0,,,,
0080018B,2020-01-01,REIMS,ARDENNES,GIVET,LYCEE GENERAL,PUBLIC,222,99.0,,99.0,90.0,-5.0,55.0,6.0,102.0,76.0,52.0,83.0,-6.0,89.0,-6.0,93.0,-4.0,,,,
0100046W,2020-01-01,REIMS,AUBE,TROYES,LYCEE GENERAL PRIVE,PRIVE,371,126.6,,126.6,100.0,1.0,90.0,6.0,138.0,121.0,118.0,85.0,-7.0,96.0,-1.0,100.0,1.0,,,,
0101016A,2020-01-01,REIMS,AUBE,SAINTE-SAVINE,LYCEE POLYVALENT,PUBLIC,756,111.8,,111.8,97.0,-1.0,66.0,-6.0,321.0,243.0,231.0,79.0,-11.0,93.0,-3.0,97.0,-2.0,,,,
0510006E,2020-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,LYCEE GENERAL,PUBLIC,777,117.3,,117.3,96.0,-2.0,69.0,-5.0,280.0,239.0,244.0,89.0,-2.0,96.0,0.0,98.0,-1.0,,,,
0510007F,2020-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,LPO LYCEE DES METIERS,PUBLIC,487,107.3,82.7,94.0,91.0,-6.0,46.0,-14.0,175.0,152.0,151.0,82.0,-7.0,92.0,-3.0,94.0,-4.0,,,,
0510034K,2020-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1212,109.2,86.5,108.6,93.0,-3.0,57.0,-3.0,347.0,478.0,459.0,90.0,2.0,93.0,-2.0,96.0,-1.0,,,,
0510035L,2020-01-01,REIMS,MARNE,REIMS,LGT LYCEE DES METIERS,PUBLIC,1005,92.2,,92.2,93.0,1.0,55.0,5.0,284.0,374.0,389.0,85.0,0.0,94.0,2.0,95.0,0.0,,,,
0510068X,2020-01-01,REIMS,MARNE,EPERNAY,LPO LYCEE DES METIERS,PUBLIC,1461,110.4,80.4,104.2,95.0,-2.0,66.0,-2.0,483.0,472.0,474.0,90.0,1.0,97.0,1.0,98.0,0.0,,,,
0511142P,2020-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL PRIVE,PRIVE,638,132.5,,132.5,100.0,1.0,91.0,5.0,231.0,206.0,193.0,95.0,2.0,98.0,1.0,100.0,1.0,,,,
0511926S,2020-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,968,124.5,,124.5,98.0,-1.0,77.0,-2.0,360.0,317.0,297.0,93.0,2.0,97.0,0.0,99.0,0.0,,,,
0520844K,2020-01-01,REIMS,HAUTE-MARNE,CHAUMONT,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,631,104.7,,104.7,94.0,-3.0,56.0,-6.0,201.0,234.0,210.0,91.0,2.0,96.0,1.0,97.0,-1.0,,,,
0540034U,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LUNEVILLE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,963,110.8,,110.8,95.0,-2.0,57.0,-10.0,341.0,312.0,333.0,89.0,-2.0,96.0,0.0,99.0,1.0,,,,
0541286E,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VAL DE BRIEY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,965,102.2,,102.2,96.0,0.0,52.0,-7.0,295.0,342.0,287.0,89.0,1.0,95.0,0.0,97.0,-1.0,,,,
0541312H,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LUNEVILLE,LYCEE GENERAL PRIVE,PRIVE,96,115.0,,115.0,83.0,-15.0,43.0,-25.0,54.0,32.0,26.0,74.0,-13.0,85.0,-11.0,94.0,-5.0,,,,
0542408Z,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,168,103.5,,103.5,98.0,1.0,46.0,-14.0,65.0,83.0,72.0,76.0,-9.0,87.0,-8.0,96.0,-2.0,,,,
0570094T,2020-01-01,NANCY-METZ,MOSELLE,SARREBOURG,LYCEE POLYVALENT,PUBLIC,833,104.3,82.4,101.8,96.0,-1.0,66.0,0.0,284.0,301.0,233.0,92.0,2.0,97.0,1.0,97.0,-1.0,,,,
0570098X,2020-01-01,NANCY-METZ,MOSELLE,SARREGUEMINES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1051,112.1,,112.1,98.0,0.0,71.0,0.0,389.0,329.0,330.0,89.0,-1.0,98.0,2.0,100.0,2.0,,,,
0570107G,2020-01-01,NANCY-METZ,MOSELLE,THIONVILLE,LYCEE GENERAL,PUBLIC,1010,115.7,,115.7,98.0,0.0,70.0,-4.0,415.0,317.0,296.0,93.0,2.0,97.0,0.0,99.0,0.0,,,,
0570214Y,2020-01-01,NANCY-METZ,MOSELLE,SARREGUEMINES,LYCEE GENERAL PRIVE,PRIVE,176,115.5,,115.5,100.0,2.0,81.0,13.0,59.0,62.0,54.0,91.0,0.0,98.0,2.0,100.0,2.0,,,,
0570216A,2020-01-01,NANCY-METZ,MOSELLE,THIONVILLE,LYCEE GENERAL PRIVE,PRIVE,856,132.7,,132.7,100.0,0.0,91.0,3.0,312.0,294.0,269.0,91.0,-2.0,97.0,0.0,100.0,0.0,,,,
0572757M,2020-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1440,111.9,,111.9,95.0,-2.0,59.0,-10.0,540.0,485.0,503.0,90.0,1.0,96.0,0.0,98.0,0.0,,,,
0573231C,2020-01-01,NANCY-METZ,MOSELLE,SCHOENECK,LPO LYCEE DES METIERS,PUBLIC,519,94.3,81.7,92.8,94.0,-2.0,60.0,4.0,172.0,160.0,168.0,89.0,1.0,94.0,-1.0,95.0,-2.0,,,,
0573366Z,2020-01-01,NANCY-METZ,MOSELLE,ALGRANGE,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,164,105.5,,105.5,98.0,0.0,72.0,3.0,52.0,65.0,53.0,86.0,-4.0,91.0,-5.0,98.0,0.0,,,,
0573770N,2020-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,192,85.2,,85.2,100.0,5.0,73.0,14.0,70.0,92.0,70.0,75.0,-9.0,87.0,-6.0,100.0,3.0,,,,
0670002N,2020-01-01,STRASBOURG,BAS-RHIN,BARR,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,455,121.8,,121.8,98.0,0.0,76.0,6.0,185.0,134.0,148.0,90.0,0.0,97.0,1.0,100.0,1.0,,,,
0670041F,2020-01-01,STRASBOURG,BAS-RHIN,MOLSHEIM,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1059,120.7,,120.7,97.0,-2.0,79.0,3.0,331.0,345.0,354.0,94.0,3.0,96.0,-1.0,98.0,-1.0,,,,
0670080Y,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL,PUBLIC,1235,122.0,,122.0,99.0,0.0,77.0,-1.0,443.0,417.0,412.0,93.0,3.0,97.0,1.0,98.0,-1.0,,,,
0670087F,2020-01-01,STRASBOURG,BAS-RHIN,ILLKIRCH-GRAFFENSTADEN,LPO LYCEE DES METIERS,PUBLIC,222,118.4,96.2,105.5,97.0,-2.0,73.0,1.0,49.0,118.0,82.0,89.0,-1.0,90.0,-5.0,97.0,-1.0,,,,
0671509B,2020-01-01,STRASBOURG,BAS-RHIN,HAGUENAU,LPO LYCEE DES METIERS,PUBLIC,641,114.8,85.3,103.8,98.0,0.0,67.0,-4.0,275.0,203.0,187.0,89.0,0.0,96.0,0.0,98.0,0.0,,,,
0671618V,2020-01-01,STRASBOURG,BAS-RHIN,WALBOURG,LYCEE GENERAL PRIVE,PRIVE,237,121.9,,121.9,100.0,2.0,61.0,-12.0,88.0,83.0,63.0,78.0,-11.0,94.0,-2.0,99.0,0.0,,,,
0672806L,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE POLYVALENT,PUBLIC,838,102.7,78.0,96.9,94.0,-2.0,61.0,0.0,399.0,305.0,232.0,87.0,1.0,95.0,0.0,96.0,-2.0,,,,
0680008P,2020-01-01,STRASBOURG,HAUT-RHIN,COLMAR,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,889,111.5,,111.5,97.0,-1.0,75.0,3.0,310.0,287.0,313.0,88.0,-1.0,97.0,1.0,99.0,0.0,,,,
0680010S,2020-01-01,STRASBOURG,HAUT-RHIN,COLMAR,LYCEE POLYVALENT,PUBLIC,872,108.5,82.9,99.5,97.0,0.0,66.0,0.0,291.0,275.0,285.0,88.0,0.0,96.0,0.0,98.0,0.0,,,,
0681817F,2020-01-01,STRASBOURG,HAUT-RHIN,INGERSHEIM,LPO LYCEE DES METIERS,PUBLIC,70,103.9,79.5,86.7,91.0,0.0,36.0,-5.0,23.0,27.0,20.0,91.0,13.0,91.0,0.0,91.0,-3.0,,,,
0681885E,2020-01-01,STRASBOURG,HAUT-RHIN,CARSPACH,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,80,109.9,,109.9,94.0,-3.0,61.0,-2.0,25.0,35.0,19.0,81.0,-6.0,85.0,-10.0,94.0,-4.0,,,,
0880055G,2020-01-01,NANCY-METZ,VOSGES,SAINT-DIE-DES-VOSGES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,632,102.3,,102.3,96.0,-1.0,62.0,-4.0,240.0,210.0,196.0,83.0,-6.0,94.0,-2.0,98.0,0.0,,,,
0880099E,2020-01-01,NANCY-METZ,VOSGES,SAINT-DIE-DES-VOSGES,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,216,111.0,,111.0,100.0,2.0,87.0,16.0,91.0,72.0,54.0,94.0,4.0,98.0,2.0,100.0,1.0,,,,
0880152M,2020-01-01,NANCY-METZ,VOSGES,SAINT-DIE-DES-VOSGES,LPO LYCEE DES METIERS,PUBLIC,455,115.2,85.5,105.1,99.0,1.0,62.0,-10.0,165.0,122.0,138.0,88.0,-2.0,98.0,2.0,99.0,0.0,,,,
0880153N,2020-01-01,NANCY-METZ,VOSGES,REMIREMONT,LPO LYCEE DES METIERS,PUBLIC,944,111.3,96.0,110.2,96.0,-2.0,67.0,-3.0,341.0,319.0,304.0,85.0,-6.0,94.0,-2.0,98.0,0.0,,,,
0080006N,2020-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,LYCEE GENERAL,PUBLIC,650,113.6,,113.6,99.0,0.0,72.0,-7.0,212.0,213.0,200.0,92.0,0.0,97.0,0.0,99.0,0.0,,,,
0080027L,2020-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,489,86.5,,86.5,94.0,-1.0,45.0,-9.0,140.0,142.0,149.0,76.0,-11.0,84.0,-10.0,94.0,-3.0,,,,
0080082W,2020-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,LYCEE POLYVALENT PRIVE,PRIVE,396,121.2,94.2,113.7,100.0,1.0,82.0,6.0,154.0,135.0,133.0,96.0,5.0,98.0,1.0,100.0,1.0,,,,
0100025Y,2020-01-01,REIMS,AUBE,TROYES,LYCEE POLYVALENT,PUBLIC,541,106.0,81.5,94.9,96.0,-1.0,64.0,1.0,176.0,205.0,184.0,91.0,2.0,96.0,1.0,98.0,0.0,,,,
0100059K,2020-01-01,REIMS,AUBE,TROYES,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,329,116.0,,116.0,97.0,-1.0,60.0,-3.0,107.0,136.0,106.0,77.0,-12.0,89.0,-6.0,98.0,0.0,,,,
0520027X,2020-01-01,REIMS,HAUTE-MARNE,SAINT-DIZIER,LYCEE POLYVALENT,PUBLIC,459,91.3,,91.3,89.0,-4.0,48.0,-2.0,142.0,135.0,154.0,81.0,-5.0,89.0,-4.0,94.0,-2.0,,,,
0520679F,2020-01-01,REIMS,HAUTE-MARNE,SAINT-DIZIER,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,304,116.4,,116.4,100.0,2.0,80.0,10.0,131.0,96.0,88.0,89.0,-2.0,98.0,2.0,100.0,1.0,,,,
0520685M,2020-01-01,REIMS,HAUTE-MARNE,CHAUMONT,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,157,116.0,,116.0,100.0,1.0,96.0,23.0,64.0,57.0,40.0,87.0,-4.0,98.0,1.0,98.0,-1.0,,,,
0540042C,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1360,121.6,,121.6,96.0,-2.0,73.0,0.0,478.0,427.0,435.0,94.0,5.0,97.0,1.0,98.0,-1.0,,,,
0540058V,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,PONT-A-MOUSSON,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,870,113.3,,113.3,97.0,-1.0,61.0,-8.0,350.0,302.0,294.0,89.0,-1.0,97.0,1.0,99.0,1.0,,,,
0540076P,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,JARNY,LYCEE POLYVALENT,PUBLIC,581,105.3,88.6,97.5,99.0,2.0,67.0,4.0,198.0,216.0,181.0,95.0,5.0,99.0,4.0,100.0,2.0,,,,
0541270M,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,PONT-A-MOUSSON,LPO LYCEE DES METIERS,PUBLIC,319,112.1,83.7,96.7,100.0,1.0,71.0,-2.0,106.0,81.0,89.0,90.0,1.0,97.0,1.0,99.0,0.0,,,,
0541319R,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL PRIVE,PRIVE,120,115.6,,115.6,100.0,2.0,71.0,-4.0,66.0,36.0,50.0,80.0,-9.0,95.0,-1.0,97.0,-1.0,,,,
0541320S,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,185,108.7,,108.7,100.0,2.0,66.0,-2.0,60.0,65.0,49.0,73.0,-15.0,87.0,-9.0,98.0,-1.0,,,,
0542208G,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VILLERS-LES-NANCY,LYCEE POLYVALENT,PUBLIC,599,117.1,96.3,111.7,94.0,-4.0,57.0,-10.0,189.0,192.0,178.0,88.0,0.0,94.0,-1.0,96.0,-2.0,,,,
0570030Y,2020-01-01,NANCY-METZ,MOSELLE,FORBACH,LPO LYCEE DES METIERS,PUBLIC,274,73.0,67.2,69.9,74.0,-15.0,31.0,-8.0,50.0,98.0,98.0,72.0,-6.0,80.0,-11.0,86.0,-8.0,,,,
0570085H,2020-01-01,NANCY-METZ,MOSELLE,SAINT-AVOLD,LPO LYCEE DES METIERS,PUBLIC,1127,104.1,76.7,99.2,97.0,0.0,72.0,5.0,391.0,349.0,356.0,85.0,-4.0,94.0,-2.0,97.0,-1.0,,,,
0570099Y,2020-01-01,NANCY-METZ,MOSELLE,SARREGUEMINES,LPO LYCEE DES METIERS,PUBLIC,485,101.2,80.9,93.8,94.0,-2.0,58.0,-3.0,164.0,171.0,171.0,94.0,7.0,98.0,3.0,99.0,1.0,,,,
0570211V,2020-01-01,NANCY-METZ,MOSELLE,PHALSBOURG,LYCEE GENERAL PRIVE,PRIVE,230,129.0,,129.0,100.0,1.0,77.0,-1.0,90.0,84.0,69.0,94.0,3.0,100.0,3.0,100.0,1.0,,,,
0573172N,2020-01-01,NANCY-METZ,MOSELLE,SAINT-AVOLD,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,88,95.3,,95.3,94.0,-3.0,63.0,5.0,22.0,35.0,30.0,80.0,-7.0,88.0,-7.0,94.0,-3.0,,,,
0573281G,2020-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1028,112.5,,112.5,98.0,0.0,71.0,1.0,375.0,361.0,318.0,87.0,-2.0,94.0,-2.0,99.0,1.0,,,,
0670020H,2020-01-01,STRASBOURG,BAS-RHIN,HAGUENAU,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1295,115.6,,115.6,99.0,1.0,76.0,1.0,409.0,427.0,439.0,91.0,1.0,97.0,1.0,99.0,0.0,,,,
0670084C,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE POLYVALENT,PUBLIC,1275,103.0,85.0,100.3,95.0,-1.0,67.0,1.0,343.0,470.0,467.0,96.0,7.0,97.0,2.0,98.0,1.0,,,,
