uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,ips_voie_gt,ips_voie_pro,ips_ensemble_gt_pro,taux_de_reussite,va_taux_de_reussite,taux_de_mentions,va_du_taux_de_mentions,effectif_de_2de,effectif_de_1re,effectif_de_ter,taux_dacces_2nde_bac,va_taux_dacces_2nde_bac,taux_dacces_1re_bac,va_du_taux_dacces_1re_bac,taux_dacces_term_bac,va_du_taux_dacces_term_bac,part_mention_ab,part_mention_b,part_mention_tb_sf,part_mention_tb_af
0670086E,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LPO LYCEE DES METIERS,PUBLIC,378,84.1,76.2,80.3,88.0,-3.0,41.0,0.0,117.0,103.0,133.0,76.0,-7.0,88.0,-2.0,90.0,-3.0,,,,
0670114K,2020-01-01,STRASBOURG,BAS-RHIN,WISSEMBOURG,LPO LYCEE DES METIERS,PUBLIC,1032,113.9,89.9,108.2,99.0,1.0,83.0,11.0,341.0,327.0,323.0,94.0,3.0,97.0,1.0,99.0,0.0,,,,
0671636P,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE D'ENS. GENERAL ET TECHN.,PRIVE,141,112.5,,112.5,94.0,-2.0,47.0,-9.0,32.0,52.0,50.0,85.0,20.0,94.0,1.0,94.0,-3.0,,,,
0671639T,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYC GEN TECH PRIVE DES METIERS,PRIVE,449,120.3,,120.3,99.0,1.0,70.0,4.0,160.0,148.0,182.0,82.0,-6.0,96.0,1.0,99.0,1.0,,,,
0680001G,2020-01-01,STRASBOURG,HAUT-RHIN,ALTKIRCH,LYCEE POLYVALENT,PUBLIC,1268,114.0,85.4,107.1,100.0,2.0,81.0,7.0,487.0,424.0,369.0,96.0,6.0,99.0,3.0,100.0,1.0,,,,
0680007N,2020-01-01,STRASBOURG,HAUT-RHIN,COLMAR,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,860,126.6,,126.6,99.0,0.0,84.0,5.0,315.0,272.0,272.0,94.0,3.0,97.0,1.0,99.0,0.0,,,,
0680032R,2020-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1180,99.0,,99.0,92.0,-3.0,54.0,-4.0,360.0,402.0,377.0,86.0,0.0,93.0,-1.0,94.0,-3.0,,,,
0680151V,2020-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,INSTITUTION,PRIVE,679,126.7,,126.7,100.0,1.0,85.0,3.0,256.0,246.0,197.0,91.0,-1.0,96.0,-1.0,100.0,1.0,,,,
0681839E,2020-01-01,STRASBOURG,HAUT-RHIN,GUEBWILLER,LPO LYCEE DES METIERS,PUBLIC,127,114.2,88.3,94.2,95.0,-3.0,51.0,-13.0,16.0,42.0,42.0,95.0,9.0,95.0,0.0,95.0,-3.0,,,,
0681888H,2020-01-01,STRASBOURG,HAUT-RHIN,WITTELSHEIM,LYCEE POLYVALENT,PUBLIC,397,101.0,73.6,90.9,91.0,-5.0,54.0,-4.0,169.0,144.0,117.0,88.0,-1.0,95.0,0.0,98.0,0.0,,,,
0080007P,2020-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,810,102.9,,102.9,95.0,-1.0,56.0,-5.0,240.0,280.0,276.0,86.0,-3.0,95.0,0.0,99.0,2.0,,,,
0080008R,2020-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,LPO LYCEE DES METIERS,PUBLIC,412,106.5,83.3,103.8,96.0,-1.0,61.0,-3.0,129.0,145.0,139.0,93.0,5.0,96.0,0.0,100.0,2.0,,,,
0080040A,2020-01-01,REIMS,ARDENNES,REVIN,LYCEE POLYVALENT,PUBLIC,262,87.6,71.0,80.2,98.0,1.0,62.0,1.0,96.0,83.0,72.0,86.0,-3.0,93.0,-2.0,99.0,1.0,,,,
0080045F,2020-01-01,REIMS,ARDENNES,SEDAN,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,859,93.7,,93.7,92.0,-4.0,52.0,-6.0,301.0,263.0,286.0,87.0,-2.0,94.0,-1.0,96.0,-1.0,,,,
0081047V,2020-01-01,REIMS,ARDENNES,BAZEILLES,LPO LYCEE DES METIERS,PUBLIC,93,109.7,87.1,94.5,96.0,-2.0,57.0,0.0,17.0,30.0,34.0,97.0,9.0,97.0,3.0,100.0,3.0,,,,
0100022V,2020-01-01,REIMS,AUBE,TROYES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,911,107.2,,107.2,96.0,-1.0,60.0,-3.0,324.0,293.0,296.0,85.0,-4.0,96.0,1.0,98.0,0.0,,,,
0510031G,2020-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL,PUBLIC,974,112.4,,112.4,97.0,-1.0,64.0,-8.0,428.0,319.0,300.0,92.0,3.0,98.0,2.0,99.0,0.0,,,,
0510032H,2020-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1009,123.8,,123.8,100.0,1.0,81.0,0.0,386.0,308.0,303.0,92.0,1.0,96.0,-1.0,98.0,-1.0,,,,
0511130B,2020-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL PRIVE,PRIVE,666,126.8,,126.8,100.0,1.0,80.0,-1.0,244.0,222.0,207.0,93.0,1.0,96.0,-1.0,99.0,0.0,,,,
0511135G,2020-01-01,REIMS,MARNE,EPERNAY,LYCEE GENERAL PRIVE,PRIVE,270,115.8,,115.8,100.0,1.0,88.0,9.0,110.0,97.0,68.0,85.0,-6.0,94.0,-3.0,100.0,1.0,,,,
0511140M,2020-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL PRIVE,PRIVE,363,136.5,,136.5,100.0,1.0,71.0,-9.0,115.0,114.0,111.0,91.0,2.0,97.0,0.0,100.0,1.0,,,,
0520019N,2020-01-01,REIMS,HAUTE-MARNE,JOINVILLE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,315,98.4,,98.4,93.0,-3.0,60.0,1.0,90.0,118.0,95.0,92.0,4.0,95.0,0.0,96.0,-2.0,,,,
0520021R,2020-01-01,REIMS,HAUTE-MARNE,LANGRES,LYCEE POLYVALENT,PUBLIC,718,109.5,77.9,104.2,95.0,-2.0,59.0,-8.0,241.0,217.0,228.0,91.0,2.0,93.0,-3.0,95.0,-3.0,,,,
0540030P,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LONGWY,LYCEE POLYVALENT,PUBLIC,1392,99.4,78.9,97.3,97.0,0.0,55.0,-8.0,504.0,493.0,438.0,92.0,5.0,97.0,2.0,98.0,0.0,,,,
0540038Y,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1250,125.1,,125.1,98.0,-1.0,82.0,2.0,464.0,404.0,416.0,97.0,6.0,99.0,2.0,100.0,1.0,,,,
0540039Z,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1005,122.0,,122.0,97.0,-1.0,76.0,3.0,330.0,337.0,348.0,93.0,3.0,97.0,1.0,98.0,0.0,,,,
0540041B,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,379,103.5,,103.5,96.0,0.0,57.0,-5.0,120.0,116.0,127.0,90.0,4.0,98.0,3.0,100.0,2.0,,,,
0541309E,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LONGWY,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,320,101.4,,101.4,99.0,1.0,78.0,10.0,136.0,105.0,117.0,88.0,-1.0,96.0,0.0,99.0,1.0,,,,
0550008K,2020-01-01,NANCY-METZ,MEUSE,COMMERCY,LYCEE POLYVALENT,PUBLIC,530,104.2,79.7,97.2,90.0,-6.0,61.0,-1.0,205.0,175.0,181.0,90.0,1.0,95.0,0.0,97.0,-1.0,,,,
0550025D,2020-01-01,NANCY-METZ,MEUSE,VERDUN,LPO LYCEE DES METIERS,PUBLIC,1143,108.4,88.5,106.9,98.0,0.0,69.0,-2.0,395.0,340.0,371.0,88.0,-2.0,95.0,-1.0,98.0,0.0,,,,
0570029X,2020-01-01,NANCY-METZ,MOSELLE,FORBACH,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,518,88.2,,88.2,99.0,4.0,59.0,5.0,199.0,188.0,166.0,93.0,6.0,96.0,2.0,99.0,2.0,,,,
0570054Z,2020-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1155,129.7,,129.7,97.0,-2.0,79.0,-6.0,433.0,383.0,343.0,93.0,1.0,95.0,-2.0,98.0,-1.0,,,,
0570087K,2020-01-01,NANCY-METZ,MOSELLE,SAINT-AVOLD,LPO LYCEE DES METIERS,PUBLIC,811,108.6,77.8,98.8,96.0,-1.0,65.0,1.0,309.0,265.0,273.0,92.0,2.0,95.0,-1.0,97.0,-1.0,,,,
0570311D,2020-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,479,131.8,,131.8,100.0,1.0,87.0,7.0,173.0,175.0,161.0,91.0,0.0,99.0,2.0,100.0,1.0,,,,
0570313F,2020-01-01,NANCY-METZ,MOSELLE,THIONVILLE,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,833,125.1,,125.1,100.0,1.0,87.0,6.0,304.0,294.0,272.0,95.0,3.0,99.0,2.0,100.0,1.0,,,,
0572340J,2020-01-01,NANCY-METZ,MOSELLE,FORBACH,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,208,102.1,,102.1,98.0,1.0,80.0,12.0,93.0,72.0,72.0,92.0,3.0,100.0,4.0,100.0,2.0,,,,
0572341K,2020-01-01,NANCY-METZ,MOSELLE,MONTIGNY-LES-METZ,LYCEE GENERAL PRIVE,PRIVE,569,127.1,,127.1,99.0,0.0,76.0,-1.0,217.0,204.0,196.0,87.0,-3.0,94.0,-2.0,99.0,0.0,,,,
0572590F,2020-01-01,NANCY-METZ,MOSELLE,TALANGE,LPO LYCEE DES METIERS,PUBLIC,137,101.4,85.6,90.1,100.0,4.0,55.0,0.0,35.0,24.0,38.0,74.0,-13.0,88.0,-6.0,100.0,3.0,,,,
0573227Y,2020-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE POLYVALENT,PUBLIC,834,108.2,83.4,102.3,98.0,1.0,62.0,-4.0,335.0,256.0,226.0,85.0,-4.0,95.0,-1.0,98.0,0.0,,,,
0670078W,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,981,98.3,,98.3,93.0,-2.0,58.0,2.0,376.0,324.0,330.0,87.0,1.0,92.0,-2.0,96.0,-1.0,,,,
0670081Z,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL,PUBLIC,941,127.6,,127.6,97.0,-2.0,88.0,5.0,334.0,316.0,317.0,91.0,5.0,96.0,1.0,99.0,0.0,,,,
0671609K,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL PRIVE,PRIVE,638,135.1,,135.1,100.0,1.0,93.0,9.0,237.0,211.0,203.0,96.0,3.0,98.0,1.0,100.0,1.0,,,,
0671610L,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE D'ENSEIGNEMENT GENERAL P,PRIVE,494,126.0,,126.0,100.0,1.0,95.0,9.0,175.0,171.0,166.0,93.0,0.0,97.0,0.0,99.0,0.0,,,,
0671832C,2020-01-01,STRASBOURG,BAS-RHIN,SELESTAT,LYCEE POLYVALENT,PUBLIC,735,112.9,92.9,107.9,94.0,-4.0,63.0,-4.0,269.0,248.0,221.0,91.0,1.0,96.0,0.0,97.0,-1.0,,,,
0680015X,2020-01-01,STRASBOURG,HAUT-RHIN,GUEBWILLER,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,841,117.4,,117.4,99.0,1.0,76.0,2.0,312.0,247.0,289.0,88.0,-2.0,98.0,2.0,99.0,0.0,,,,
0680016Y,2020-01-01,STRASBOURG,HAUT-RHIN,GUEBWILLER,LYCEE POLYVALENT,PUBLIC,721,117.2,94.0,113.2,96.0,-2.0,62.0,-10.0,265.0,236.0,217.0,92.0,2.0,97.0,1.0,99.0,0.0,,,,
0680034T,2020-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,972,99.7,86.7,99.6,95.0,-1.0,59.0,-3.0,348.0,370.0,315.0,83.0,-3.0,93.0,-1.0,97.0,-1.0,,,,
0680051L,2020-01-01,STRASBOURG,HAUT-RHIN,MUNSTER,LYCEE GENERAL,PUBLIC,325,118.4,,118.4,99.0,0.0,86.0,12.0,111.0,89.0,103.0,93.0,3.0,98.0,1.0,100.0,1.0,,,,
0681761V,2020-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,645,105.5,,105.5,94.0,-4.0,75.0,4.0,289.0,210.0,189.0,82.0,-7.0,95.0,-1.0,99.0,0.0,,,,
0681768C,2020-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE POLYVALENT,PUBLIC,846,89.5,81.2,88.9,90.0,-2.0,48.0,-1.0,321.0,280.0,276.0,87.0,3.0,92.0,-1.0,94.0,-2.0,,,,
0880019T,2020-01-01,NANCY-METZ,VOSGES,EPINAL,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1115,103.4,,103.4,95.0,-2.0,62.0,-2.0,309.0,470.0,387.0,92.0,4.0,94.0,-1.0,97.0,-1.0,,,,
0880030E,2020-01-01,NANCY-METZ,VOSGES,GERARDMER,LYCEE GENERAL,PUBLIC,428,123.5,,123.5,97.0,-2.0,70.0,-5.0,174.0,163.0,134.0,90.0,-1.0,95.0,-1.0,99.0,0.0,,,,
0880097C,2020-01-01,NANCY-METZ,VOSGES,REMIREMONT,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,249,108.4,,108.4,100.0,3.0,64.0,1.0,73.0,81.0,71.0,79.0,-10.0,92.0,-3.0,98.0,0.0,,,,
0080039Z,2020-01-01,REIMS,ARDENNES,RETHEL,LYCEE POLYVALENT,PUBLIC,559,108.6,77.5,97.5,98.0,0.0,67.0,-1.0,211.0,180.0,164.0,91.0,0.0,94.0,-2.0,97.0,-1.0,,,,
0080081V,2020-01-01,REIMS,ARDENNES,SEDAN,LYCEE GENERAL PRIVE,PRIVE,279,109.9,,109.9,100.0,2.0,78.0,7.0,89.0,98.0,81.0,90.0,0.0,98.0,2.0,100.0,1.0,,,,
0101028N,2020-01-01,REIMS,AUBE,TROYES,LYCEE GENERAL,PUBLIC,778,106.8,,106.8,97.0,-1.0,60.0,-14.0,313.0,223.0,205.0,82.0,-6.0,92.0,-4.0,97.0,-2.0,,,,
0510053F,2020-01-01,REIMS,MARNE,SEZANNE,LYCEE POLYVALENT,PUBLIC,385,102.1,80.2,93.2,94.0,-2.0,60.0,-3.0,166.0,131.0,128.0,91.0,2.0,94.0,-2.0,97.0,-1.0,,,,
0511145T,2020-01-01,REIMS,MARNE,REIMS,LYCEE POLYVALENT PRIVE,PRIVE,345,107.4,105.5,106.6,100.0,2.0,72.0,6.0,118.0,126.0,111.0,84.0,-6.0,86.0,-10.0,100.0,2.0,,,,
0511147V,2020-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,LYC POLYVAL PRIVE DES METIERS,PRIVE,601,118.0,97.1,110.3,98.0,0.0,74.0,3.0,235.0,197.0,195.0,91.0,0.0,94.0,-2.0,98.0,0.0,,,,
0511901P,2020-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,465,100.7,,100.7,93.0,-1.0,54.0,-3.0,183.0,133.0,131.0,71.0,-14.0,88.0,-6.0,96.0,-1.0,,,,
0511951U,2020-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,LPO LYCEE DES METIERS,PUBLIC,359,94.8,81.1,88.8,84.0,-9.0,37.0,-14.0,140.0,123.0,104.0,76.0,-9.0,82.0,-11.0,87.0,-9.0,,,,
0520028Y,2020-01-01,REIMS,HAUTE-MARNE,SAINT-DIZIER,LYCEE POLYVALENT,PUBLIC,258,102.6,,102.6,96.0,0.0,62.0,4.0,104.0,82.0,71.0,82.0,-6.0,93.0,-2.0,100.0,3.0,,,,
0540070H,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VANDOEUVRE-LES-NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,811,113.9,,113.9,97.0,0.0,68.0,-1.0,292.0,263.0,272.0,91.0,2.0,97.0,2.0,98.0,0.0,,,,
0541305A,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,VAL DE BRIEY,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,88,108.8,,108.8,95.0,-2.0,54.0,-8.0,45.0,21.0,17.0,85.0,-1.0,97.0,1.0,97.0,-1.0,,,,
0541318P,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL PRIVE,PRIVE,513,136.0,,136.0,99.0,0.0,86.0,1.0,182.0,162.0,157.0,89.0,-3.0,95.0,-2.0,100.0,1.0,,,,
0541986R,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,JARVILLE-LA-MALGRANGE,LYCEE GENERAL PRIVE,PRIVE,555,140.7,,140.7,100.0,1.0,89.0,3.0,201.0,187.0,175.0,95.0,3.0,98.0,1.0,99.0,-1.0,,,,
0542293Z,2020-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LUNEVILLE,LPO LYCEE DES METIERS,PUBLIC,227,112.1,87.7,101.1,97.0,-1.0,64.0,-5.0,72.0,58.0,69.0,77.0,-11.0,95.0,-1.0,97.0,-2.0,,,,
0550002D,2020-01-01,NANCY-METZ,MEUSE,BAR-LE-DUC,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1009,107.5,,107.5,95.0,-3.0,62.0,-7.0,331.0,332.0,314.0,91.0,1.0,96.0,0.0,97.0,-1.0,,,,
0550049E,2020-01-01,NANCY-METZ,MEUSE,VERDUN,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,180,103.9,,103.9,98.0,0.0,67.0,1.0,82.0,54.0,63.0,75.0,-12.0,88.0,-8.0,100.0,2.0,,,,
0570021N,2020-01-01,NANCY-METZ,MOSELLE,DIEUZE,LYCEE POLYVALENT,PUBLIC,441,106.1,75.6,103.0,99.0,1.0,74.0,3.0,159.0,151.0,107.0,86.0,-4.0,95.0,-1.0,99.0,1.0,,,,
0570057C,2020-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,860,97.0,,97.0,97.0,2.0,51.0,-2.0,259.0,311.0,329.0,83.0,0.0,92.0,-1.0,98.0,2.0,,,,
0570058D,2020-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1300,125.1,,125.1,100.0,2.0,82.0,8.0,455.0,420.0,444.0,93.0,2.0,96.0,0.0,100.0,1.0,,,,
0570108H,2020-01-01,NANCY-METZ,MOSELLE,THIONVILLE,LPO LYCEE DES METIERS,PUBLIC,223,104.1,82.7,88.4,95.0,-1.0,56.0,0.0,51.0,93.0,78.0,84.0,-2.0,91.0,-3.0,99.0,2.0,,,,
0572022N,2020-01-01,NANCY-METZ,MOSELLE,CREUTZWALD,LYCEE POLYVALENT,PUBLIC,660,97.6,71.5,91.9,97.0,1.0,51.0,-8.0,212.0,213.0,205.0,92.0,4.0,97.0,2.0,99.0,1.0,,,,
0572027U,2020-01-01,NANCY-METZ,MOSELLE,THIONVILLE,LYCEE POLYVALENT,PUBLIC,982,100.0,86.3,96.0,93.0,-3.0,51.0,-6.0,213.0,354.0,376.0,89.0,1.0,95.0,0.0,95.0,-2.0,,,,
0670007U,2020-01-01,STRASBOURG,BAS-RHIN,BOUXWILLER,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,486,116.9,,116.9,98.0,0.0,79.0,3.0,184.0,147.0,142.0,89.0,-2.0,98.0,2.0,99.0,0.0,,,,
0670071N,2020-01-01,STRASBOURG,BAS-RHIN,SELESTAT,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,971,120.4,,120.4,98.0,0.0,82.0,6.0,300.0,336.0,343.0,96.0,4.0,98.0,1.0,99.0,0.0,,,,
0670082A,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,985,103.4,,103.4,95.0,-2.0,58.0,-6.0,378.0,323.0,300.0,86.0,-2.0,94.0,-1.0,95.0,-3.0,,,,
0670085D,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LPO LYCEE DES METIERS,PUBLIC,477,108.2,80.1,95.0,95.0,-1.0,61.0,-1.0,174.0,146.0,169.0,83.0,-3.0,95.0,1.0,97.0,0.0,,,,
0671552Y,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL PRIVE,PRIVE,758,143.7,,143.7,100.0,0.0,99.0,7.0,269.0,255.0,240.0,94.0,1.0,99.0,1.0,100.0,0.0,,,,
0671602C,2020-01-01,STRASBOURG,BAS-RHIN,HAGUENAU,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,348,118.8,,118.8,100.0,1.0,84.0,6.0,133.0,122.0,103.0,93.0,1.0,97.0,0.0,99.0,0.0,,,,
0672198A,2020-01-01,STRASBOURG,BAS-RHIN,ILLKIRCH-GRAFFENSTADEN,LPO LYCEE DES METIERS,PUBLIC,536,122.7,74.4,99.6,99.0,0.0,79.0,-1.0,198.0,200.0,178.0,87.0,-3.0,93.0,-3.0,97.0,-2.0,,,,
0672534R,2020-01-01,STRASBOURG,BAS-RHIN,SAVERNE,LPO LYCEE DES METIERS,PUBLIC,565,118.8,94.8,115.4,98.0,0.0,77.0,4.0,206.0,174.0,173.0,89.0,-1.0,95.0,-1.0,98.0,-1.0,,,,
0672604S,2020-01-01,STRASBOURG,BAS-RHIN,BISCHHEIM,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1156,101.8,,101.8,95.0,-2.0,62.0,0.0,483.0,366.0,359.0,87.0,2.0,94.0,-1.0,95.0,-3.0,,,,
0672677W,2020-01-01,STRASBOURG,BAS-RHIN,ERSTEIN,LYCEE POLYVALENT,PUBLIC,819,123.2,87.0,119.9,98.0,-1.0,78.0,-1.0,331.0,273.0,253.0,95.0,3.0,99.0,2.0,100.0,1.0,,,,
0673083M,2020-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE ECOLE LIBRE SAINTE-ANNE,PRIVE,193,114.0,,114.0,100.0,1.0,86.0,7.0,92.0,79.0,52.0,93.0,1.0,98.0,1.0,100.0,1.0,,,,
0680031P,2020-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1237,98.9,,98.9,93.0,-2.0,68.0,10.0,410.0,412.0,418.0,92.0,6.0,94.0,0.0,94.0,-3.0,,,,
0680060W,2020-01-01,STRASBOURG,HAUT-RHIN,RIBEAUVILLE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,506,121.2,,121.2,98.0,-1.0,74.0,-1.0,167.0,178.0,131.0,90.0,-1.0,95.0,-1.0,99.0,0.0,,,,
0680066C,2020-01-01,STRASBOURG,HAUT-RHIN,SAINT-LOUIS,LYCEE POLYVALENT,PUBLIC,1460,110.3,84.4,104.5,98.0,0.0,81.0,13.0,586.0,475.0,486.0,91.0,3.0,97.0,1.0,98.0,0.0,,,,
0680068E,2020-01-01,STRASBOURG,HAUT-RHIN,SAINTE-MARIE-AUX-MINES,LYCEE POLYVALENT,PUBLIC,131,104.6,86.2,94.6,100.0,2.0,82.0,12.0,47.0,32.0,38.0,93.0,2.0,97.0,1.0,100.0,2.0,,,,
0680134B,2020-01-01,STRASBOURG,HAUT-RHIN,LANDSER,LYCEE GENERAL PRIVE,PRIVE,426,134.8,,134.8,100.0,1.0,92.0,5.0,150.0,138.0,139.0,91.0,-2.0,95.0,-2.0,100.0,1.0,,,,
0680141J,2020-01-01,STRASBOURG,HAUT-RHIN,ZILLISHEIM,LYCEE GENERAL PRIVE,PRIVE,476,137.4,,137.4,100.0,1.0,91.0,5.0,193.0,168.0,142.0,95.0,2.0,98.0,1.0,100.0,1.0,,,,
0680149T,2020-01-01,STRASBOURG,HAUT-RHIN,COLMAR,LYCEE GEN.ET TECHNOL.EPISCOPAL,PRIVE,750,117.7,,117.7,100.0,2.0,86.0,12.0,260.0,265.0,248.0,92.0,2.0,98.0,2.0,100.0,1.0,,,,
0880004B,2020-01-01,NANCY-METZ,VOSGES,BRUYERES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,360,105.8,,105.8,98.0,0.0,70.0,0.0,124.0,115.0,109.0,91.0,0.0,96.0,0.0,100.0,1.0,,,,
0880021V,2020-01-01,NANCY-METZ,VOSGES,EPINAL,LPO LYCEE DES METIERS,PUBLIC,634,112.4,89.7,106.9,98.0,0.0,64.0,-7.0,228.0,196.0,162.0,84.0,-4.0,94.0,-2.0,98.0,-1.0,,,,
0880036L,2020-01-01,NANCY-METZ,VOSGES,MIRECOURT,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,492,111.4,99.2,111.1,95.0,-3.0,60.0,-11.0,194.0,175.0,143.0,81.0,-10.0,89.0,-7.0,96.0,-3.0,,,,
0570107G,2021-01-01,NANCY-METZ,MOSELLE,THIONVILLE,LYCEE GENERAL,PUBLIC,1028,117.4,,117.4,97.0,0.0,72.0,1.0,401.0,302.0,311.0,90.0,1.0,97.0,1.0,99.0,1.0,,,,
0080082W,2021-01-01,REIMS,ARDENNES,CHARLEVILLE-MEZIERES,LYCEE POLYVALENT PRIVE,PRIVE,422,120.4,96.8,114.1,100.0,2.0,69.0,-3.0,151.0,144.0,128.0,92.0,2.0,95.0,-1.0,99.0,1.0,34.38,,,
0100025Y,2021-01-01,REIMS,AUBE,TROYES,LYCEE POLYVALENT,PUBLIC,565,106.7,81.9,95.9,92.0,-3.0,56.0,1.0,166.0,199.0,207.0,84.0,-2.0,90.0,-4.0,94.0,-2.0,28.02,12.56,4.83,4.83
0510007F,2021-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,LPO LYCEE DES METIERS,PUBLIC,478,108.9,83.8,95.3,88.0,-4.0,45.0,-3.0,152.0,165.0,158.0,79.0,-6.0,89.0,-3.0,91.0,-4.0,27.85,12.66,,
