uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,ips_voie_gt,ips_voie_pro,ips_ensemble_gt_pro,taux_de_reussite,va_taux_de_reussite,taux_de_mentions,va_du_taux_de_mentions,effectif_de_2de,effectif_de_1re,effectif_de_ter,taux_dacces_2nde_bac,va_taux_dacces_2nde_bac,taux_dacces_1re_bac,va_du_taux_dacces_1re_bac,taux_dacces_term_bac,va_du_taux_dacces_term_bac,part_mention_ab,part_mention_b,part_mention_tb_sf,part_mention_tb_af
0573770N,2021-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,232,79.0,,79.0,99.0,4.0,68.0,15.0,54.0,85.0,88.0,56.0,-26.0,90.0,-2.0,99.0,4.0,37.50,14.77,4.55,4.55
0670002N,2021-01-01,STRASBOURG,BAS-RHIN,BARR,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,467,119.5,,119.5,98.0,2.0,72.0,7.0,147.0,170.0,131.0,93.0,4.0,97.0,2.0,98.0,1.0,33.59,,,
0670005S,2021-01-01,STRASBOURG,BAS-RHIN,BISCHWILLER,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,710,103.8,,103.8,95.0,1.0,65.0,8.0,251.0,209.0,227.0,76.0,-11.0,90.0,-3.0,94.0,-2.0,31.28,18.06,9.69,9.69
0670071N,2021-01-01,STRASBOURG,BAS-RHIN,SELESTAT,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,979,122.3,,122.3,98.0,1.0,76.0,5.0,312.0,322.0,333.0,96.0,6.0,97.0,1.0,99.0,1.0,29.73,27.03,18.32,18.32
0670081Z,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL,PUBLIC,953,127.0,,127.0,97.0,0.0,81.0,5.0,350.0,324.0,314.0,89.0,5.0,94.0,0.0,97.0,-1.0,,,,
0670085D,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LPO LYCEE DES METIERS,PUBLIC,489,108.0,79.6,94.5,86.0,-6.0,50.0,0.0,184.0,219.0,147.0,79.0,-3.0,84.0,-8.0,92.0,-3.0,28.57,19.05,8.16,8.16
0670087F,2021-01-01,STRASBOURG,BAS-RHIN,ILLKIRCH-GRAFFENSTADEN,LPO LYCEE DES METIERS,PUBLIC,249,114.5,100.1,106.8,86.0,-7.0,54.0,0.0,60.0,98.0,121.0,86.0,4.0,86.0,-4.0,89.0,-5.0,,,,
0671609K,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL PRIVE,PRIVE,651,133.8,,133.8,100.0,1.0,85.0,5.0,246.0,227.0,205.0,93.0,2.0,98.0,2.0,100.0,1.0,,,,
0671611M,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL PRIVE,PRIVE,370,124.3,,124.3,100.0,2.0,85.0,8.0,129.0,119.0,109.0,88.0,-2.0,94.0,-2.0,98.0,-1.0,,,,
0671618V,2021-01-01,STRASBOURG,BAS-RHIN,WALBOURG,LYCEE GENERAL PRIVE,PRIVE,234,123.9,,123.9,97.0,0.0,78.0,9.0,98.0,62.0,64.0,64.0,-23.0,79.0,-16.0,92.0,-6.0,,,,
0671639T,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYC GEN TECH PRIVE DES METIERS,PRIVE,490,120.0,,120.0,98.0,3.0,52.0,-2.0,169.0,214.0,158.0,82.0,-4.0,91.0,-2.0,99.0,3.0,41.77,16.46,1.27,1.27
0672614C,2021-01-01,STRASBOURG,BAS-RHIN,SARRE-UNION,LYCEE POLYVALENT,PUBLIC,302,107.2,83.2,99.3,100.0,3.0,70.0,4.0,112.0,91.0,91.0,92.0,4.0,98.0,3.0,100.0,2.0,,,,
0672615D,2021-01-01,STRASBOURG,BAS-RHIN,MOLSHEIM,LYCEE POLYVALENT,PUBLIC,510,118.0,90.1,109.6,96.0,0.0,61.0,0.0,189.0,155.0,151.0,90.0,2.0,94.0,-1.0,97.0,-1.0,35.76,21.19,,
0680015X,2021-01-01,STRASBOURG,HAUT-RHIN,GUEBWILLER,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,848,117.3,,117.3,98.0,2.0,72.0,6.0,234.0,312.0,232.0,90.0,1.0,94.0,-1.0,98.0,0.0,40.95,28.45,18.10,18.10
0680032R,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1139,103.0,,103.0,86.0,-5.0,46.0,-3.0,357.0,404.0,432.0,79.0,-4.0,89.0,-1.0,92.0,-2.0,20.60,12.96,5.79,5.79
0680034T,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1033,98.8,98.2,98.8,89.0,-2.0,55.0,6.0,340.0,313.0,374.0,84.0,1.0,93.0,1.0,96.0,1.0,25.13,13.90,5.88,5.88
0680151V,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,INSTITUTION,PRIVE,699,127.0,,127.0,100.0,2.0,87.0,11.0,222.0,228.0,231.0,84.0,-6.0,98.0,2.0,99.0,0.0,26.41,26.84,18.61,18.61
0681768C,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE POLYVALENT,PUBLIC,877,90.5,85.3,90.1,89.0,2.0,45.0,5.0,332.0,287.0,287.0,88.0,6.0,92.0,3.0,94.0,2.0,22.65,13.59,5.92,5.92
0880021V,2021-01-01,NANCY-METZ,VOSGES,EPINAL,LPO LYCEE DES METIERS,PUBLIC,586,114.5,85.7,107.4,96.0,0.0,60.0,-3.0,199.0,212.0,181.0,91.0,4.0,95.0,1.0,99.0,1.0,22.10,19.34,11.05,11.05
0540058V,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,PONT-A-MOUSSON,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,946,115.7,,115.7,98.0,2.0,66.0,4.0,310.0,318.0,289.0,87.0,-2.0,95.0,0.0,99.0,2.0,38.75,20.07,,
0540076P,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,JARNY,LYCEE POLYVALENT,PUBLIC,595,106.9,89.2,98.8,97.0,1.0,69.0,10.0,201.0,194.0,201.0,93.0,5.0,97.0,3.0,99.0,2.0,39.80,16.92,5.97,5.97
0541318P,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL PRIVE,PRIVE,501,134.3,,134.3,99.0,1.0,77.0,-2.0,181.0,170.0,141.0,82.0,-8.0,89.0,-7.0,99.0,0.0,,,,
0570087K,2021-01-01,NANCY-METZ,MOSELLE,SAINT-AVOLD,LPO LYCEE DES METIERS,PUBLIC,847,108.6,76.1,98.9,93.0,-2.0,55.0,-3.0,266.0,276.0,266.0,88.0,0.0,95.0,1.0,97.0,0.0,27.07,19.55,6.77,6.77
0570099Y,2021-01-01,NANCY-METZ,MOSELLE,SARREGUEMINES,LPO LYCEE DES METIERS,PUBLIC,506,102.2,80.8,94.9,92.0,-1.0,51.0,1.0,109.0,155.0,172.0,89.0,5.0,92.0,0.0,93.0,-2.0,29.07,16.28,3.49,3.49
0570106F,2021-01-01,NANCY-METZ,MOSELLE,THIONVILLE,LYCEE GENERAL,PUBLIC,855,115.6,,115.6,95.0,-2.0,64.0,-4.0,322.0,248.0,241.0,89.0,0.0,97.0,1.0,99.0,1.0,,,,
0570214Y,2021-01-01,NANCY-METZ,MOSELLE,SARREGUEMINES,LYCEE GENERAL PRIVE,PRIVE,175,117.8,,117.8,98.0,2.0,89.0,24.0,48.0,54.0,58.0,88.0,-1.0,95.0,-1.0,98.0,0.0,,,,
0572022N,2021-01-01,NANCY-METZ,MOSELLE,CREUTZWALD,LYCEE POLYVALENT,PUBLIC,630,98.7,73.6,93.1,95.0,2.0,58.0,6.0,197.0,180.0,216.0,87.0,0.0,96.0,3.0,97.0,1.0,30.56,17.13,,
0670007U,2021-01-01,STRASBOURG,BAS-RHIN,BOUXWILLER,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,473,117.3,,117.3,97.0,0.0,66.0,-3.0,140.0,171.0,142.0,91.0,2.0,97.0,2.0,99.0,1.0,33.80,22.54,,
0670020H,2021-01-01,STRASBOURG,BAS-RHIN,HAGUENAU,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1275,115.2,,115.2,97.0,0.0,75.0,6.0,400.0,429.0,415.0,86.0,-3.0,94.0,-1.0,97.0,-1.0,33.49,29.16,14.70,14.70
0670041F,2021-01-01,STRASBOURG,BAS-RHIN,MOLSHEIM,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1030,121.3,,121.3,98.0,1.0,72.0,3.0,322.0,345.0,349.0,95.0,6.0,97.0,2.0,98.0,0.0,34.96,23.50,14.04,14.04
0670083B,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL,PUBLIC,715,104.8,,104.8,91.0,-1.0,51.0,-1.0,275.0,241.0,264.0,83.0,1.0,94.0,2.0,95.0,0.0,,,,
0670084C,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE POLYVALENT,PUBLIC,1292,103.3,85.4,100.5,89.0,-3.0,55.0,-1.0,330.0,473.0,496.0,89.0,3.0,94.0,2.0,95.0,-1.0,23.99,19.35,6.45,6.45
0670086E,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LPO LYCEE DES METIERS,PUBLIC,353,86.2,76.3,81.2,87.0,0.0,51.0,16.0,110.0,143.0,120.0,77.0,-2.0,86.0,-1.0,91.0,1.0,35.83,15.83,4.17,4.17
0671615S,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL PRIVE,PRIVE,138,138.7,,138.7,96.0,-2.0,80.0,3.0,33.0,42.0,47.0,97.0,8.0,100.0,4.0,100.0,1.0,,,,
0671832C,2021-01-01,STRASBOURG,BAS-RHIN,SELESTAT,LYCEE POLYVALENT,PUBLIC,738,112.0,90.5,106.6,95.0,-1.0,57.0,-1.0,269.0,258.0,235.0,87.0,0.0,92.0,-2.0,95.0,-2.0,31.49,14.89,5.53,5.53
0672604S,2021-01-01,STRASBOURG,BAS-RHIN,BISCHHEIM,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1189,101.7,,101.7,93.0,1.0,56.0,5.0,505.0,359.0,376.0,87.0,3.0,95.0,3.0,98.0,2.0,27.66,17.02,,
0672677W,2021-01-01,STRASBOURG,BAS-RHIN,ERSTEIN,LYCEE POLYVALENT,PUBLIC,857,125.3,87.7,121.8,99.0,2.0,73.0,2.0,303.0,269.0,268.0,89.0,0.0,96.0,0.0,100.0,2.0,29.48,24.25,13.06,13.06
0680001G,2021-01-01,STRASBOURG,HAUT-RHIN,ALTKIRCH,LYCEE POLYVALENT,PUBLIC,1280,115.1,86.2,108.0,97.0,1.0,72.0,8.0,417.0,451.0,405.0,91.0,3.0,95.0,0.0,98.0,1.0,31.60,22.22,10.12,10.12
0680031P,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1240,103.4,,103.4,93.0,1.0,58.0,5.0,419.0,413.0,412.0,87.0,4.0,93.0,1.0,94.0,-1.0,29.61,20.39,7.52,7.52
0680134B,2021-01-01,STRASBOURG,HAUT-RHIN,LANDSER,LYCEE GENERAL PRIVE,PRIVE,427,134.8,,134.8,100.0,1.0,98.0,10.0,150.0,146.0,132.0,93.0,2.0,98.0,1.0,100.0,1.0,,,,
0880020U,2021-01-01,NANCY-METZ,VOSGES,EPINAL,LYCEE GENERAL,PUBLIC,858,116.7,,116.7,98.0,1.0,71.0,2.0,296.0,258.0,254.0,82.0,-6.0,92.0,-4.0,98.0,0.0,,,,
0880097C,2021-01-01,NANCY-METZ,VOSGES,REMIREMONT,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,225,109.5,,109.5,93.0,0.0,55.0,2.0,65.0,73.0,74.0,73.0,-11.0,84.0,-9.0,94.0,-1.0,21.62,22.97,,
0100023W,2021-01-01,REIMS,AUBE,TROYES,LYCEE POLYVALENT,PUBLIC,1172,96.7,74.8,91.0,90.0,-2.0,51.0,0.0,347.0,397.0,411.0,80.0,-3.0,86.0,-5.0,92.0,-2.0,27.25,15.57,5.60,5.60
0100047X,2021-01-01,REIMS,AUBE,TROYES,LYCEE GENERAL PRIVE,PRIVE,390,126.3,,126.3,99.0,1.0,70.0,-4.0,141.0,124.0,121.0,85.0,-4.0,91.0,-5.0,98.0,0.0,,,,
0101028N,2021-01-01,REIMS,AUBE,TROYES,LYCEE GENERAL,PUBLIC,741,106.7,,106.7,94.0,-2.0,66.0,3.0,288.0,202.0,215.0,85.0,-2.0,94.0,-1.0,96.0,-2.0,,,,
0510031G,2021-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL,PUBLIC,1047,112.4,,112.4,96.0,0.0,60.0,-2.0,426.0,321.0,314.0,92.0,5.0,97.0,2.0,98.0,1.0,,,,
0510032H,2021-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,997,124.3,,124.3,98.0,0.0,78.0,2.0,384.0,317.0,306.0,91.0,2.0,97.0,1.0,98.0,-1.0,26.14,28.76,16.01,16.01
0510062R,2021-01-01,REIMS,MARNE,VITRY-LE-FRANCOIS,LYCEE POLYVALENT,PUBLIC,694,101.4,79.4,94.4,93.0,-2.0,57.0,1.0,236.0,231.0,215.0,93.0,6.0,95.0,1.0,98.0,1.0,35.35,16.28,,
0511146U,2021-01-01,REIMS,MARNE,REIMS,LYCEE POLYVALENT PRIVE DES MET,PRIVE,161,120.5,110.1,113.5,100.0,4.0,48.0,-10.0,57.0,61.0,53.0,80.0,-7.0,93.0,-1.0,100.0,2.0,24.53,9.43,7.55,7.55
0511901P,2021-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,447,99.5,,99.5,86.0,-3.0,34.0,-8.0,188.0,156.0,130.0,76.0,-6.0,84.0,-6.0,88.0,-5.0,20.77,,,
0511926S,2021-01-01,REIMS,MARNE,REIMS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,974,123.6,,123.6,98.0,0.0,75.0,0.0,347.0,313.0,309.0,93.0,3.0,97.0,1.0,99.0,1.0,26.86,29.13,13.27,13.27
0511951U,2021-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,LPO LYCEE DES METIERS,PUBLIC,367,98.4,79.5,90.3,89.0,3.0,33.0,-3.0,126.0,147.0,126.0,85.0,5.0,89.0,2.0,92.0,2.0,19.84,6.35,,
0521032P,2021-01-01,REIMS,HAUTE-MARNE,CHAUMONT,LPO LYCEE DES METIERS,PUBLIC,570,115.1,88.8,113.2,97.0,0.0,76.0,9.0,212.0,194.0,145.0,84.0,-4.0,89.0,-6.0,97.0,-1.0,46.90,32.41,17.24,17.24
0540030P,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LONGWY,LYCEE POLYVALENT,PUBLIC,1435,99.2,78.2,97.1,92.0,-1.0,59.0,8.0,508.0,448.0,504.0,86.0,2.0,92.0,0.0,94.0,-1.0,30.36,13.10,5.56,5.56
0540038Y,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1284,126.0,,126.0,97.0,0.0,69.0,-2.0,449.0,425.0,419.0,93.0,4.0,96.0,0.0,98.0,0.0,29.36,24.11,12.17,12.17
0540042C,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1340,121.8,,121.8,94.0,-2.0,66.0,1.0,433.0,442.0,433.0,92.0,5.0,96.0,2.0,99.0,1.0,32.33,20.79,10.39,10.39
0540066D,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,943,115.5,,115.5,98.0,2.0,70.0,9.0,317.0,302.0,295.0,91.0,3.0,95.0,0.0,98.0,1.0,40.34,23.05,12.20,12.20
0542161F,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,83,108.7,,108.7,93.0,0.0,43.0,0.0,24.0,36.0,28.0,60.0,-23.0,74.0,-17.0,93.0,-2.0,,,,
0100015M,2021-01-01,REIMS,AUBE,ROMILLY-SUR-SEINE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1027,100.3,,100.3,89.0,-3.0,53.0,1.0,381.0,349.0,331.0,81.0,-3.0,90.0,-2.0,93.0,-2.0,24.47,16.62,6.34,6.34
0100022V,2021-01-01,REIMS,AUBE,TROYES,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,913,108.3,,108.3,94.0,-1.0,54.0,-2.0,313.0,307.0,292.0,82.0,-5.0,88.0,-6.0,96.0,-1.0,33.56,14.04,5.48,5.48
0510006E,2021-01-01,REIMS,MARNE,CHALONS-EN-CHAMPAGNE,LYCEE GENERAL,PUBLIC,763,118.6,,118.6,95.0,-2.0,67.0,-3.0,241.0,229.0,222.0,89.0,0.0,93.0,-3.0,97.0,-1.0,,,,
0510035L,2021-01-01,REIMS,MARNE,REIMS,LGT LYCEE DES METIERS,PUBLIC,1047,91.8,,91.8,90.0,0.0,46.0,3.0,288.0,388.0,386.0,78.0,-3.0,91.0,2.0,94.0,1.0,30.31,11.92,3.63,3.63
0511565Z,2021-01-01,REIMS,MARNE,REIMS,LPO LYCEE DES METIERS,PUBLIC,307,105.0,87.1,98.4,92.0,-3.0,44.0,-13.0,142.0,104.0,86.0,70.0,-13.0,89.0,-5.0,96.0,-1.0,18.60,16.28,,
0520027X,2021-01-01,REIMS,HAUTE-MARNE,SAINT-DIZIER,LYCEE POLYVALENT,PUBLIC,431,92.9,,92.9,90.0,1.0,36.0,-4.0,84.0,135.0,135.0,69.0,-15.0,85.0,-6.0,91.0,-2.0,28.15,8.89,4.44,4.44
0520844K,2021-01-01,REIMS,HAUTE-MARNE,CHAUMONT,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,645,105.3,,105.3,92.0,-2.0,51.0,-4.0,223.0,227.0,227.0,85.0,-2.0,91.0,-2.0,95.0,-1.0,24.23,17.18,4.85,4.85
0540034U,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LUNEVILLE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,986,112.1,,112.1,96.0,1.0,59.0,1.0,336.0,306.0,302.0,82.0,-5.0,93.0,-1.0,96.0,-1.0,38.08,16.23,9.93,9.93
0540041B,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,NANCY,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,363,99.0,,99.0,98.0,6.0,48.0,2.0,128.0,118.0,109.0,81.0,-3.0,92.0,0.0,98.0,3.0,31.19,22.02,,
0540044E,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOMBLAINE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1273,108.4,,108.4,95.0,0.0,53.0,-2.0,355.0,453.0,450.0,85.0,-1.0,92.0,-1.0,95.0,-1.0,29.33,11.11,6.22,6.22
0541309E,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,LONGWY,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,358,105.8,,105.8,99.0,3.0,69.0,8.0,103.0,109.0,103.0,81.0,-6.0,94.0,-1.0,98.0,1.0,36.89,33.01,7.77,7.77
0541320S,2021-01-01,NANCY-METZ,MEURTHE-ET-MOSELLE,TOUL,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,174,105.8,,105.8,100.0,4.0,76.0,11.0,76.0,37.0,56.0,71.0,-15.0,83.0,-11.0,96.0,-2.0,33.93,21.43,7.14,7.14
0550072E,2021-01-01,NANCY-METZ,MEUSE,STENAY,LYCEE POLYVALENT,PUBLIC,242,99.8,80.2,94.1,92.0,-1.0,50.0,-1.0,100.0,78.0,67.0,93.0,6.0,94.0,1.0,94.0,-1.0,43.28,14.93,,
0570023R,2021-01-01,NANCY-METZ,MOSELLE,FAMECK,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1243,91.3,,91.3,91.0,0.0,55.0,9.0,449.0,365.0,375.0,82.0,-2.0,93.0,1.0,95.0,0.0,29.07,17.87,5.87,5.87
0570029X,2021-01-01,NANCY-METZ,MOSELLE,FORBACH,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,553,88.1,,88.1,94.0,7.0,54.0,14.0,209.0,160.0,181.0,86.0,3.0,92.0,1.0,97.0,3.0,,,,
0570058D,2021-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1319,125.8,,125.8,98.0,1.0,69.0,0.0,457.0,461.0,430.0,90.0,1.0,97.0,2.0,98.0,0.0,33.02,22.79,12.56,12.56
0570081D,2021-01-01,NANCY-METZ,MOSELLE,PHALSBOURG,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,281,107.1,,107.1,94.0,1.0,67.0,9.0,94.0,85.0,86.0,76.0,-10.0,87.0,-6.0,91.0,-5.0,30.23,23.26,11.63,11.63
0570210U,2021-01-01,NANCY-METZ,MOSELLE,PELTRE,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,69,107.7,,107.7,100.0,7.0,70.0,26.0,21.0,25.0,29.0,85.0,8.0,100.0,11.0,100.0,8.0,,,,
0573172N,2021-01-01,NANCY-METZ,MOSELLE,SAINT-AVOLD,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,87,89.5,,89.5,100.0,4.0,63.0,10.0,10.0,26.0,35.0,86.0,-1.0,100.0,7.0,100.0,4.0,,,,
0573281G,2021-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1054,114.4,,114.4,95.0,1.0,61.0,3.0,367.0,339.0,350.0,85.0,-2.0,94.0,0.0,98.0,1.0,26.57,21.14,5.71,5.71
0573326F,2021-01-01,NANCY-METZ,MOSELLE,BITCHE,LYCEE POLYVALENT,PUBLIC,478,108.4,82.7,104.1,100.0,4.0,81.0,18.0,154.0,140.0,153.0,86.0,-3.0,96.0,1.0,100.0,3.0,40.52,29.41,9.15,9.15
0670057Y,2021-01-01,STRASBOURG,BAS-RHIN,SAVERNE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,732,111.9,,111.9,97.0,2.0,73.0,13.0,232.0,248.0,244.0,89.0,1.0,96.0,2.0,98.0,1.0,37.70,24.59,9.43,9.43
0670078W,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1030,100.3,,100.3,89.0,2.0,43.0,2.0,349.0,341.0,333.0,85.0,5.0,91.0,3.0,94.0,3.0,25.53,8.11,,
0670114K,2021-01-01,STRASBOURG,BAS-RHIN,WISSEMBOURG,LPO LYCEE DES METIERS,PUBLIC,991,114.5,92.0,109.0,99.0,2.0,77.0,12.0,319.0,330.0,320.0,95.0,6.0,98.0,3.0,99.0,1.0,32.81,30.31,12.50,12.50
0671509B,2021-01-01,STRASBOURG,BAS-RHIN,HAGUENAU,LPO LYCEE DES METIERS,PUBLIC,665,117.9,84.8,105.8,97.0,0.0,72.0,1.0,275.0,223.0,205.0,89.0,0.0,96.0,1.0,97.0,-1.0,33.17,18.05,12.20,12.20
0671602C,2021-01-01,STRASBOURG,BAS-RHIN,HAGUENAU,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,358,121.5,,121.5,100.0,1.0,88.0,8.0,133.0,119.0,116.0,89.0,-2.0,96.0,0.0,100.0,1.0,25.86,37.07,,
0671610L,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE D'ENSEIGNEMENT GENERAL P,PRIVE,512,130.3,,130.3,99.0,0.0,86.0,2.0,175.0,174.0,169.0,99.0,7.0,99.0,2.0,99.0,0.0,,,,
0680007N,2021-01-01,STRASBOURG,HAUT-RHIN,COLMAR,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,859,127.4,,127.4,96.0,-1.0,74.0,5.0,303.0,278.0,278.0,91.0,2.0,98.0,3.0,99.0,1.0,24.82,25.90,,
0680068E,2021-01-01,STRASBOURG,HAUT-RHIN,SAINTE-MARIE-AUX-MINES,LYCEE POLYVALENT,PUBLIC,117,109.9,89.6,98.6,100.0,5.0,84.0,22.0,29.0,39.0,32.0,96.0,7.0,100.0,5.0,100.0,3.0,,,,
0680149T,2021-01-01,STRASBOURG,HAUT-RHIN,COLMAR,LYCEE GEN.ET TECHNOL.EPISCOPAL,PRIVE,773,118.8,,118.8,99.0,1.0,78.0,8.0,259.0,267.0,256.0,92.0,3.0,97.0,2.0,99.0,1.0,32.42,30.47,12.11,12.11
0681888H,2021-01-01,STRASBOURG,HAUT-RHIN,WITTELSHEIM,LYCEE POLYVALENT,PUBLIC,430,103.3,76.1,94.1,91.0,-2.0,55.0,2.0,155.0,151.0,133.0,83.0,-2.0,87.0,-5.0,90.0,-5.0,22.56,18.05,,
0880030E,2021-01-01,NANCY-METZ,VOSGES,GERARDMER,LYCEE GENERAL,PUBLIC,471,123.1,,123.1,95.0,-1.0,69.0,2.0,152.0,161.0,160.0,90.0,1.0,96.0,1.0,97.0,-1.0,,,,
0880036L,2021-01-01,NANCY-METZ,VOSGES,MIRECOURT,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,512,111.5,92.5,111.0,96.0,1.0,58.0,-3.0,167.0,175.0,174.0,89.0,0.0,96.0,1.0,99.0,2.0,24.71,,,
0880152M,2021-01-01,NANCY-METZ,VOSGES,SAINT-DIE-DES-VOSGES,LPO LYCEE DES METIERS,PUBLIC,425,114.4,85.9,104.3,99.0,2.0,73.0,3.0,125.0,139.0,119.0,90.0,2.0,96.0,1.0,99.0,1.0,41.18,33.61,,
0550025D,2021-01-01,NANCY-METZ,MEUSE,VERDUN,LPO LYCEE DES METIERS,PUBLIC,1106,106.6,86.6,105.1,95.0,-1.0,61.0,1.0,371.0,380.0,331.0,92.0,4.0,95.0,1.0,97.0,0.0,36.56,19.64,9.67,9.67
0570054Z,2021-01-01,NANCY-METZ,MOSELLE,METZ,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1159,127.8,,127.8,98.0,0.0,76.0,-2.0,404.0,392.0,371.0,92.0,2.0,97.0,1.0,98.0,-1.0,23.45,26.42,,
0570094T,2021-01-01,NANCY-METZ,MOSELLE,SARREBOURG,LYCEE POLYVALENT,PUBLIC,818,108.0,84.4,105.2,96.0,1.0,60.0,2.0,308.0,268.0,296.0,91.0,4.0,96.0,2.0,97.0,1.0,26.69,15.20,,
